Method,Fold,Accuracy,N_Rules,Train_Time,Partition_Time
Default,1,0.98,13,0.31994152069091797,0.0004096031188964844
Optimized (Sep+Hybrid),1,0.96,15,0.2828547954559326,0.0006258487701416016
Optimized (Gini+Grid),1,0.92,7,0.07888150215148926,0.09226679801940918
Default,2,0.86,5,0.025659799575805664,0.00038361549377441406
Optimized (Sep+Hybrid),2,0.88,4,0.026357412338256836,0.0005936622619628906
Optimized (Gini+Grid),2,0.9,5,0.018794536590576172,0.08868551254272461
Default,3,0.94,3,0.02003645896911621,0.0003838539123535156
Optimized (Sep+Hybrid),3,0.94,3,0.020608186721801758,0.0005865097045898438
Optimized (Gini+Grid),3,0.94,4,0.032544851303100586,0.08871078491210938
