,Accuracy,Accuracy,N_Rules,N_Conditions,N_Unique_Conditions,Train_Time
,mean,std,mean,mean,mean,mean
Method,,,,,,
C4.5,0.8357237449226975,0.10413011417214281,71.76,0.9403745422533504,70.76,0.023442254066467286
CART,0.8177172872248205,0.11039827682737402,77.5,0.9407339375377857,76.5,0.02661476135253906
FuzzyCART,0.7691978100066402,0.1165425287162267,10.4,0.29,2.2800000000000002,1.6824058866500855
FuzzyCART_Optimized,0.7967377114268681,0.1089627083775051,10.6,0.25033333333333335,1.9600000000000002,1.3389013528823852
